French,English
chercher,search
frère,brother
car,because
laisse,leash
eux,them
chaque,each
longtemps,long time
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
yeux,eyes
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
suite,after
pardon,sorry
minutes,minutes
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
nouvelle,new
boulot,job
dirait,would say
donne,given
loin,far
bureau,office
